,Instituição financeira,Código,TCB,TD,TC,Cidade,UF,Data,Instituição Sujeita à Apuração da Exposição Total,Instituição Sujeita à Apuração do Patrimônio de Referência,Instituição Utiliza Metodologia Simplificada,Exposição Total ou Ativo Total (R$ mil),Total de Ativos Consolidados no Exterior (US$ mil),Data da Última Alteração de Segmento,SR,Unnamed: 15
122,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP",81466286.0,b3S,I,2.0,PONTA GROSSA,PR,03/2017,Não,Sim,Não,1.292.169,NI,01/2017,S4,
123,CREDICOAMO CREDITO RURAL COOPERATIVA,81723108.0,b3S,I,2.0,CAMPO MOURAO,PR,03/2017,Não,Sim,Não,2.175.143,NI,01/2017,S4,
124,"COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO PARQUE DAS ARAUCARIAS - SICREDI PARQUE DAS ARAUCARIAS PR/SC/SP",82065285.0,b3S,I,2.0,MARIOPOLIS,PR,03/2017,Não,Sim,Não,523.921,NI,01/2017,S4,
125,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO FRONTEIRAS DO PARANÁ, SANTA CATARINA E SÃO PAULO - SICREDI FRONTEIRAS PR/SC/SP",82527557.0,b3S,I,2.0,CAPANEMA,PR,03/2017,Não,Sim,Não,767.058,NI,01/2017,S4,
126,COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO IGUAÇU - SICREDI IGUAÇU PR/SC/SP,84974278.0,b3S,I,2.0,SAO JOAO,PR,03/2017,Não,Sim,Não,621.034,NI,01/2017,S4,
127,COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICREDS DO ESTADO DO RIO DE JANEIRO E DO MATO GROSSO LTDA   UNICRED CENTRAL RJ/MT,86774775.0,b3C,I,2.0,RIO DE JANEIRO,RJ,03/2017,Não,Sim,Não,535.341,NI,01/2017,S4,
128,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CENTRO SERRA - SICREDI CENTRO SERRA RS",87067757.0,b3S,I,2.0,AGUDO,RS,03/2017,Não,Sim,Não,653.703,NI,01/2017,S4,
129,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS INTEGRAÇÃO ROTA DAS TERRAS - SICREDI INTEGRAÇÃO ROTA DAS TERRAS RS,87510475.0,b3S,I,2.0,TAPERA,RS,03/2017,Não,Sim,Não,563.901,NI,01/2017,S4,
130,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO,87733077.0,b3S,I,2.0,ITAQUI,RS,03/2017,Não,Sim,Não,972.980,NI,01/2017,S4,
131,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC,87733770.0,b3S,I,2.0,RODEIO BONITO,RS,03/2017,Não,Sim,Não,824.299,NI,01/2017,S4,
132,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO JACUÍ - SICREDI ALTO JACUÍ RS,87779625.0,b3S,I,2.0,NAO-ME-TOQUE,RS,03/2017,Não,Sim,Não,358.363,NI,01/2017,S4,
133,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC,87780268.0,b3S,I,2.0,ERECHIM,RS,03/2017,Não,Sim,Não,1.210.306,NI,01/2017,S4,
134,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO JAGUARI - SICREDI VALE DO JAGUARI RS,87780284.0,b3S,I,2.0,SANTIAGO,RS,03/2017,Não,Sim,Não,483.837,NI,01/2017,S4,
135,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS INTEGRAÇÃO DE ESTADOS DO RIO GRANDE DO SUL E SANTA CATARINA - SICREDI INTEGRAÇÃO DE ESTADOS RS/SC,87781530.0,b3S,I,2.0,PASSO FUNDO,RS,03/2017,Não,Sim,Não,521.908,NI,01/2017,S4,
136,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALIANÇA RS/SC - SICREDI ALIANÇA RS/SC,87795639.0,b3S,I,2.0,MARAU,RS,03/2017,Não,Sim,Não,606.920,NI,01/2017,S4,
137,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO BRANCO - SICREDI OURO BRANCO RS,87853206.0,b3S,I,2.0,TEUTONIA,RS,03/2017,Não,Sim,Não,861.504,NI,01/2017,S4,
138,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE ESPUMOSO - SICREDI ESPUMOSO RS,87900411.0,b3S,I,2.0,ESPUMOSO,RS,03/2017,Não,Sim,Não,362.036,NI,01/2017,S4,
139,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS BOTUCARAÍ - SICREDI BOTUCARAÍ RS,87900601.0,b3S,I,2.0,SOLEDADE,RS,03/2017,Não,Sim,Não,604.073,NI,01/2017,S4,
140,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PLANALTO   SICREDI PLANALTO RS/SC,88038260.0,b3S,I,2.0,CRUZ ALTA,RS,03/2017,Não,Sim,Não,1.153.514,NI,01/2017,S4,
141,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CELEIRO - SICREDI CELEIRO RS/SC,88099247.0,b3S,I,2.0,CAMPO NOVO,RS,03/2017,Não,Sim,Não,453.364,NI,01/2017,S4,
142,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CENTRO LESTE - SICREDI CENTRO LESTE RS,88471024.0,b3S,I,2.0,CACHOEIRA DO SUL,RS,03/2017,Não,Sim,Não,457.562,NI,01/2017,S4,
143,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS,88894548.0,b3S,I,2.0,CERRO LARGO,RS,03/2017,Não,Sim,Não,1.624.825,NI,01/2017,S4,
144,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOROESTE DO RIO GRANDE DO SUL - SICREDI NOROESTE RS,89049738.0,b3S,I,2.0,TRES DE MAIO,RS,03/2017,Não,Sim,Não,745.092,NI,01/2017,S4,
145,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS",89126130.0,b3S,I,2.0,ENCANTADO,RS,03/2017,Não,Sim,Não,1.538.157,NI,01/2017,S4,
146,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO DA PRODUÇÃO - SICREDI REGIÃO DA PRODUÇÃO,89468565.0,b3S,I,2.0,SARANDI,RS,03/2017,Não,Sim,Não,554.920,NI,01/2017,S4,
147,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE IBIRAIARAS - SICREDI IBIRAIARAS - RS,89990501.0,b3S,I,2.0,IBIRAIARAS,RS,03/2017,Não,Sim,Não,790.864,NI,01/2017,S4,
148,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA ZONA SUL - SICREDI ZONA SUL RS,90497256.0,b3S,I,2.0,PELOTAS,RS,03/2017,Não,Sim,Não,676.936,NI,01/2017,S4,
149,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS",90608712.0,b3S,I,2.0,CARLOS BARBOSA,RS,03/2017,Não,Sim,Não,1.565.246,NI,01/2017,S4,
150,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE LAJEADO - SICREDI VALE DO TAQUARI RS",91159764.0,b3S,I,2.0,LAJEADO,RS,03/2017,Não,Sim,Não,727.909,NI,01/2017,S4,
151,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS",91586982.0,b3S,I,2.0,NOVA PETROPOLIS,RS,03/2017,Não,Sim,Não,2.001.323,NI,01/2017,S4,
152,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTOS DA SERRA - SICREDI ALTOS DA SERRA RS/SC,92555150.0,b3S,I,2.0,TAPEJARA,RS,03/2017,Não,Sim,Não,769.588,NI,01/2017,S4,
153,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SUL RIOGRANDENSE - SICREDI UNIÃO METROPOLITANA RS",92796564.0,b3S,I,2.0,PORTO ALEGRE,RS,03/2017,Não,Sim,Não,532.971,NI,01/2017,S4,
154,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ENCOSTA SUPERIOR DO NORDESTE RS - SICREDI NORDESTE RS,95213211.0,b3S,I,2.0,ROLANTE,RS,03/2017,Não,Sim,Não,332.603,NI,01/2017,S4,
155,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO VALE DO RIO PARDO - SICREDI VALE DO RIO PARDO RS",95424891.0,b3S,I,2.0,SANTA CRUZ DO SUL,RS,03/2017,Não,Sim,Não,582.886,NI,01/2017,S4,
156,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO,95594941.0,b3S,I,2.0,SANTA MARIA,RS,03/2017,Não,Sim,Não,1.135.464,NI,01/2017,S4,
157,BANIF - PRUDENCIAL,1000080130.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,732.348,NI,01/2017,S4,
158,H.H.PICCHIONI - PRUDENCIAL,1000080226.0,n2,C,2.0,BELO HORIZONTE,MG,03/2017,Não,Sim,Não,86.974,NI,01/2017,S4,
159,PARANÁ BANCO - PRUDENCIAL,1000080233.0,b1,C,2.0,CURITIBA,PR,03/2017,Sim,Sim,Não,5.072.344,NI,01/2017,S4,
160,SOFISA - PRUDENCIAL,1000080271.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,4.083.121,82.443,01/2017,S4,
161,PERNAMBUCANAS - PRUDENCIAL,1000080305.0,n1,C,2.0,SAO PAULO,SP,03/2017,Não,Sim,Não,2.770.876,NI,01/2017,S4,
162,JOHN DEERE - PRUDENCIAL,1000080343.0,b1,C,3.0,INDAIATUBA,SP,03/2017,Sim,Sim,Não,7.342.988,NI,01/2017,S4,
163,FATOR - PRUDENCIAL,1000080350.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,883.022,NI,01/2017,S4,
164,MÁXIMA - PRUDENCIAL,1000080367.0,b1,C,2.0,RIO DE JANEIRO,RJ,03/2017,Sim,Sim,Não,1.329.318,NI,01/2017,S4,
165,SOCOPA - PRUDENCIAL,1000080381.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,1.834.073,NI,01/2017,S4,
166,PROSPER - PRUDENCIAL,1000080398.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2017,Não,Sim,Não,NI,NI,01/2017,S4,
167,VR - PRUDENCIAL,1000080408.0,b1,C,2.0,BARUERI,SP,03/2017,Sim,Sim,Não,250.775,NI,01/2017,S4,
168,INDUSVAL - PRUDENCIAL,1000080415.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,3.962.286,57.730,01/2017,S4,
169,BONSUCESSO - PRUDENCIAL,1000080422.0,b1,I,2.0,BELO HORIZONTE,MG,03/2017,Sim,Sim,Não,2.244.079,NI,01/2017,S4,
170,SANTINVEST - PRUDENCIAL,1000080446.0,n1,C,2.0,FLORIANOPOLIS,SC,03/2017,Não,Sim,Não,266.863,NI,01/2017,S4,
171,BROOKFIELD - PRUDENCIAL,1000080453.0,n1,C,3.0,RIO DE JANEIRO,RJ,03/2017,Não,Sim,Não,65.060,NI,01/2017,S4,
172,OMNI - PRUDENCIAL,1000080460.0,n1,C,2.0,SAO PAULO,SP,03/2017,Não,Sim,Não,2.750.010,NI,01/2017,S4,
173,INDUSTRIAL DO BRASIL - PRUDENCIAL,1000080477.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,2.987.906,NI,01/2017,S4,
174,OPPORTUNITY - PRUDENCIAL,1000080518.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2017,Não,Sim,Não,9.417,NI,01/2017,S4,
175,HSBC - PRUDENCIAL,1000080525.0,b2,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,1.320.538,0,01/2017,S4,
176,CM CAPITAL MARKETS - PRUDENCIAL,1000080549.0,n2,C,3.0,SAO PAULO,SP,03/2017,Não,Sim,Não,99.869,NI,01/2017,S4,
177,PLANNER - PRUDENCIAL,1000080587.0,n1,C,2.0,SAO PAULO,SP,03/2017,Não,Sim,Não,108.196,NI,01/2017,S4,
178,HONDA - PRUDENCIAL,1000080611.0,b2,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,5.717.312,NI,01/2017,S4,
179,BMW - PRUDENCIAL,1000080635.0,n1,C,3.0,SAO PAULO,SP,03/2017,Não,Sim,Não,1.379.809,NI,01/2017,S4,
180,PORTO SEGURO - PRUDENCIAL,1000080642.0,n1,C,2.0,SAO PAULO,SP,03/2017,Não,Sim,Não,5.428.420,NI,01/2017,S4,
181,RENDIMENTO - PRUDENCIAL,1000080659.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,1.670.533,NI,01/2017,S4,
182,LECCA - PRUDENCIAL,1000080680.0,n1,C,2.0,RIO DE JANEIRO,RJ,03/2017,Não,Sim,Não,125.961,NI,01/2017,S4,
183,MIZUHO - PRUDENCIAL,1000080697.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,4.096.544,60.005,01/2017,S4,
184,COINVALORES - PRUDENCIAL,1000080707.0,n2,C,2.0,SAO PAULO,SP,03/2017,Não,Sim,Não,67.960,NI,01/2017,S4,
185,YAMAHA MOTOR - PRUDENCIAL,1000080721.0,b2,C,3.0,GUARULHOS,SP,03/2017,Sim,Sim,Não,731.477,NI,01/2017,S4,
186,NSG CAPITAL - PRUDENCIAL,1000080752.0,n2,C,2.0,RIO DE JANEIRO,RJ,03/2017,Não,Sim,Não,3.558,NI,01/2017,S4,
187,VOLVO - PRUDENCIAL,1000080769.0,b2,C,3.0,CURITIBA,PR,03/2017,Sim,Sim,Não,3.845.880,NI,01/2017,S4,
188,SCANIA - PRUDENCIAL,1000080776.0,b2,C,3.0,SAO BERNARDO DO CAMPO,SP,03/2017,Sim,Sim,Não,1.944.285,NI,01/2017,S4,
189,CONFIDENCE - PRUDENCIAL,1000080783.0,b2,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,310.593,NI,01/2017,S4,
190,FINAXIS - PRUDENCIAL,1000080790.0,b1,C,2.0,CURITIBA,PR,03/2017,Sim,Sim,Não,36.635,NI,01/2017,S4,
191,RANDON - PRUDENCIAL,1000080800.0,b2,C,2.0,CAXIAS DO SUL,RS,03/2017,Sim,Sim,Não,508.997,NI,01/2017,S4,
192,GAZIN - PRUDENCIAL,1000080824.0,n1,C,2.0,DOURADINA,PR,03/2017,Não,Sim,Não,63.651,NI,01/2017,S4,
193,QUERO-QUERO - PRUDENCIAL,1000080831.0,n1,I,2.0,SANTO CRISTO,RS,03/2017,Não,Sim,Não,186.097,0,01/2017,S4,
194,RODOBENS - PRUDENCIAL,1000080855.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,2.791.904,NI,01/2017,S4,
195,BEXS - PRUDENCIAL,1000080862.0,b2,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,90.791,NI,01/2017,S4,
196,WESTERN UNION - PRUDENCIAL,1000080886.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,181.327,NI,01/2017,S4,
197,BARIGUI - PRUDENCIAL,1000080893.0,n1,C,2.0,CURITIBA,PR,03/2017,Não,Sim,Não,489.567,NI,01/2017,S4,
198,BNY MELLON - PRUDENCIAL,1000080910.0,b1,C,3.0,RIO DE JANEIRO,RJ,03/2017,Sim,Sim,Não,353.680,NI,01/2017,S4,
199,CAIXA GERAL - PRUDENCIAL,1000080927.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,1.999.748,NI,01/2017,S4,
200,BR PARTNERS - PRUDENCIAL,1000080934.0,b2,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,340.170,NI,01/2017,S4,
201,BRASIL PLURAL - PRUDENCIAL,1000080941.0,b1,C,2.0,RIO DE JANEIRO,RJ,03/2017,Sim,Sim,Não,746.803,NI,01/2017,S4,
202,GOLCRED - PRUDENCIAL,1000080965.0,n1,C,2.0,SAO JOSE,SC,03/2017,Não,Sim,Não,28.562,NI,01/2017,S4,
203,COMPANHIA PROVINCIA DE CREDITO IMOBILIARIO - PRUDE,1000080972.0,n1,C,2.0,PORTO ALEGRE,RS,03/2017,Não,Sim,Não,65.548,NI,01/2017,S4,
204,UBS - PRUDENCIAL,1000080989.0,b2,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,307.025,NI,01/2017,S4,
205,INTERMEDIUM - PRUDENCIAL,1000080996.0,b1,C,2.0,BELO HORIZONTE,MG,03/2017,Sim,Sim,Não,3.342.169,NI,01/2017,S4,
206,DACASA FINANCEIRA - PRUDENCIAL,1000081005.0,n1,C,2.0,VITORIA,ES,03/2017,Não,Sim,Não,925.541,NI,01/2017,S4,
207,OURINVEST - PRUDENCIAL,1000081012.0,b2,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,899.759,NI,01/2017,S4,
208,BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL,1000081029.0,n1,I,1.0,PORTO ALEGRE,RS,03/2017,Não,Sim,Não,3.677.032,NI,01/2017,S4,
209,AG. FOMENTO ESTADO DE RORAIMA - PRUDENCIAL,1000081036.0,n1,I,1.0,BOA VISTA,RR,03/2017,Não,Sim,Não,13.647,NI,01/2017,S4,
210,AGENCIA DE FOMENTO DO RN S.A. - PRUDENCIAL,1000081043.0,n1,I,1.0,NATAL,RN,03/2017,Não,Sim,Não,75.461,NI,01/2017,S4,
211,AGENCIA FOMENTO GOIAS - PRUDENCIAL,1000081050.0,n1,I,1.0,GOIANIA,GO,03/2017,Não,Sim,Não,237.013,NI,01/2017,S4,
212,DESENBAHIA AG FOMENTO BAHIA SA - PRUDENCIAL,1000081067.0,n1,I,1.0,SALVADOR,BA,03/2017,Não,Sim,Não,1.231.855,NI,01/2017,S4,
213,AF DO ESTADO DE SC S.A. - PRUDENCIAL,1000081074.0,n1,I,1.0,FLORIANOPOLIS,SC,03/2017,Não,Sim,Não,1.004.085,NI,01/2017,S4,
214,AFAL - PRUDENCIAL,1000081081.0,n1,I,1.0,MACEIO,AL,03/2017,Não,Sim,Não,53.887,NI,01/2017,S4,
215,AG. FOMENTO AMAPA S.A. - PRUDENCIAL,1000081098.0,n1,I,1.0,MACAPA,AP,03/2017,Não,Sim,Não,14.858,NI,01/2017,S4,
216,AFEAM - PRUDENCIAL,1000081108.0,n1,I,1.0,MANAUS,AM,03/2017,Não,Sim,Não,395.187,NI,01/2017,S4,
217,AF PARANÁ - PRUDENCIAL,1000081115.0,n1,I,1.0,CURITIBA,PR,03/2017,Não,Sim,Não,1.795.121,NI,01/2017,S4,
218,AG. FOMENTO ESTADO DO TOCANTINS - PRUDENCIAL,1000081122.0,n1,I,1.0,PALMAS,TO,03/2017,Não,Sim,Não,24.015,NI,01/2017,S4,
219,AGENCIA FOMENTO EST RJ S.A. - PRUDENCIAL,1000081139.0,n1,I,1.0,RIO DE JANEIRO,RJ,03/2017,Não,Sim,Não,560.493,NI,01/2017,S4,
220,AGÊNCIA DE FOMENTO MATO GROSSO - PRUDENCIAL,1000081146.0,n1,I,1.0,CUIABA,MT,03/2017,Não,Sim,Não,35.767,NI,01/2017,S4,
221,AF DESENVOLVE SP S.A. - PRUDENCIAL,1000081153.0,n1,I,1.0,SAO PAULO,SP,03/2017,Não,Sim,Não,1.551.572,NI,01/2017,S4,
222,PIAUÍ FOMENTO - PRUDENCIAL,1000081160.0,n1,I,1.0,TERESINA,PI,03/2017,Não,Sim,Não,13.586,NI,01/2017,S4,
223,AF ESTADO DE PERNAMBUCO S.A. - PRUDENCIAL,1000081177.0,n1,I,1.0,RECIFE,PE,03/2017,Não,Sim,Não,55.321,NI,01/2017,S4,
224,BCO ARBI S.A. - PRUDENCIAL,1000081201.0,b1,I,2.0,RIO DE JANEIRO,RJ,03/2017,Sim,Sim,Não,162.653,NI,01/2017,S4,
225,BANCO NEON S.A. - PRUDENCIAL,1000081218.0,b1,I,2.0,BELO HORIZONTE,MG,03/2017,Sim,Sim,Não,319.078,NI,01/2017,S4,
226,BANCO BM&FBOVESPA - PRUDENCIAL,1000081225.0,b1,I,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,246.244,NI,01/2017,S4,
227,BCO KEB DO BRASIL SA - PRUDENCIAL,1000081232.0,b1,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,507.587,NI,01/2017,S4,
228,ANDBANK - PRUDENCIAL,1000081256.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,137.150,NI,01/2017,S4,
229,BCO LA PROVINCIA B AIRES BCE - PRUDENCIAL,1000081263.0,b1,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,201.850,NI,01/2017,S4,
230,BCO LA NACION ARGENTINA - PRUDENCIAL,1000081270.0,b1,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,154.022,NI,01/2017,S4,
231,BCO REP ORIENTAL URUGUAY BCE - PRUDENCIAL,1000081287.0,b1,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,116.628,NI,01/2017,S4,
232,MSB BANK S.A. BCO CÂMBIO - PRUDENCIAL,1000081294.0,b2,I,2.0,CURITIBA,PR,03/2017,Sim,Sim,Não,194.356,NI,01/2017,S4,
233,BCO DES. DO ES S.A. - PRUDENCIAL,1000081304.0,b4,I,1.0,VITORIA,ES,03/2017,Sim,Sim,Não,1.469.869,NI,01/2017,S4,
234,BCO INBURSA INV S.A. - PRUDENCIAL,1000081335.0,b2,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,88.855,NI,01/2017,S4,
235,BCO INDUSCRED DE INVESTIM. S/A - PRUDENCIAL,1000081342.0,b2,I,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,27.183,NI,01/2017,S4,
236,BANCO PORTO REAL DE INVEST.S.A - PRUDENCIAL,1000081359.0,b2,I,2.0,PORTO REAL,RJ,03/2017,Sim,Sim,Não,32.056,NI,01/2017,S4,
237,BBVA BRASIL BI S.A. - PRUDENCIAL,1000081366.0,b2,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,133.715,NI,01/2017,S4,
238,STANDARD CHARTERED BI S.A. - PRUDENCIAL,1000081373.0,b2,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,1.499.328,NI,01/2017,S4,
239,BANCO SEMEAR - PRUDENCIAL,1000081380.0,b1,I,2.0,BELO HORIZONTE,MG,03/2017,Sim,Sim,Não,845.037,NI,01/2017,S4,
240,BCO CATERPILLAR S.A. - PRUDENCIAL,1000081397.0,b2,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,3.227.078,NI,01/2017,S4,
241,BCO CARGILL S.A. - PRUDENCIAL,1000081414.0,b1,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,4.503.439,NI,01/2017,S4,
242,BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL,1000081421.0,b2,I,3.0,PORTO ALEGRE,RS,03/2017,Sim,Sim,Não,5.507.280,NI,01/2017,S4,
243,BCO TRIANGULO S.A. - PRUDENCIAL,1000081438.0,b1,C,2.0,UBERLANDIA,MG,03/2017,Sim,Sim,Não,2.274.605,NI,01/2017,S4,
244,SCOTIABANK BRASIL - PRUDENCIAL,1000081452.0,b1,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,2.892.325,NI,01/2017,S4,
245,BCO CEDULA S.A. - PRUDENCIAL,1000081469.0,b1,I,2.0,RIO DE JANEIRO,RJ,03/2017,Sim,Sim,Não,141.654,NI,01/2017,S4,
246,BPN BRASIL BM S.A. - PRUDENCIAL,1000081490.0,b1,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,114.821,NI,01/2017,S4,
247,BANCO MONEO S.A. - PRUDENCIAL,1000081500.0,b2,I,2.0,CAXIAS DO SUL,RS,03/2017,Sim,Sim,Não,817.270,NI,01/2017,S4,
248,BANCO TOPÁZIO S.A. - PRUDENCIAL,1000081517.0,b1,I,2.0,PORTO ALEGRE,RS,03/2017,Sim,Sim,Não,371.498,NI,01/2017,S4,
249,BANCO VIPAL - PRUDENCIAL,1000081531.0,b2,I,2.0,PORTO ALEGRE,RS,03/2017,Sim,Sim,Não,55.257,NI,01/2017,S4,
250,BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL,1000081562.0,b2,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,4.993.795,NI,01/2017,S4,
251,BCO ABN AMRO S.A. - PRUDENCIAL,1000081579.0,b1,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,1.278.670,NI,01/2017,S4,
252,BCO DO EST. DO PA S.A. - PRUDENCIAL,1000081586.0,b1,I,1.0,BELEM,PA,03/2017,Sim,Sim,Não,6.277.140,NI,01/2017,S4,
253,BCO KDB BRASIL S.A. - PRUDENCIAL,1000081603.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,1.304.065,NI,01/2017,S4,
254,NATIXIS BRASIL S.A. BM - PRUDENCIAL,1000081627.0,b1,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,164.968,NI,01/2017,S4,
255,BCO DO EST. DE SE S.A. - PRUDENCIAL,1000081634.0,b1,C,1.0,ARACAJU,SE,03/2017,Sim,Sim,Não,4.931.696,NI,01/2017,S4,
256,BCO CAPITAL S.A. - PRUDENCIAL,1000081641.0,b1,I,2.0,SALVADOR,BA,03/2017,Sim,Sim,Não,35.045,NI,01/2017,S4,
257,BCO MODAL S.A. - PRUDENCIAL,1000081658.0,b1,C,2.0,RIO DE JANEIRO,RJ,03/2017,Sim,Sim,Não,2.805.342,2.297,01/2017,S4,
258,BCO GUANABARA S.A. - PRUDENCIAL,1000081672.0,b1,I,2.0,RIO DE JANEIRO,RJ,03/2017,Sim,Sim,Não,1.260.395,NI,01/2017,S4,
259,BANCO IBM S.A. - PRUDENCIAL,1000081689.0,b2,I,3.0,RIO DE JANEIRO,RJ,03/2017,Sim,Sim,Não,1.728.923,NI,01/2017,S4,
260,BCO TRICURY S.A. - PRUDENCIAL,1000081696.0,b2,I,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,601.449,NI,01/2017,S4,
261,BCO LUSO BRASILEIRO S.A. - PRUDENCIAL,1000081706.0,b1,I,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,1.240.321,NI,01/2017,S4,
262,BCO FICSA S.A. - PRUDENCIAL,1000081737.0,b1,I,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,41.600,NI,01/2017,S4,
